Feature,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Train Time (s),Test Time (s)
Insulin,LogisticRegression,0.61039,0.40625,0.24074,0.30233,0.57972,0.41563,0.00753,8e-05
Insulin,RandomForest,0.46753,0.36792,0.72222,0.4875,0.51528,0.35873,0.18628,0.00896
Insulin,AdaBoost,0.6039,0.33333,0.12963,0.18667,0.57463,0.3976,0.07185,0.00461
Insulin,Decision Tree,0.59091,0.28571,0.11111,0.16,0.50565,0.36037,0.00098,8e-05
Insulin,Gradient Boosting,0.58442,0.27273,0.11111,0.15789,0.55426,0.382,0.07755,0.00032
Insulin,SVM (RBF Kernel),0.62338,0.38889,0.12963,0.19444,0.58537,0.41148,0.04906,0.00432
Insulin,MLAR,0.44805,0.38168,0.92593,0.54054,0.57972,0.41563,,1e-05
BMI,LogisticRegression,0.6039,0.44444,0.51852,0.47863,0.66167,0.45803,0.00323,7e-05
BMI,RandomForest,0.59091,0.43077,0.51852,0.47059,0.62731,0.44485,0.14304,0.00883
BMI,AdaBoost,0.62987,0.45161,0.25926,0.32941,0.66139,0.45042,0.08128,0.00451
BMI,Decision Tree,0.62338,0.45455,0.37037,0.40816,0.59574,0.40176,0.00114,8e-05
BMI,Gradient Boosting,0.64286,0.48148,0.24074,0.32099,0.655,0.44095,0.08064,0.00032
BMI,SVM (RBF Kernel),0.64935,0.5,0.14815,0.22857,0.57278,0.41576,0.05862,0.00424
BMI,MLAR,0.5974,0.45556,0.75926,0.56944,0.66167,0.45803,,1e-05
Glucose,LogisticRegression,0.68182,0.54098,0.61111,0.57391,0.765,0.59524,0.00295,7e-05
Glucose,RandomForest,0.66883,0.53061,0.48148,0.50485,0.67185,0.49227,0.12872,0.00863
Glucose,AdaBoost,0.66234,0.52381,0.40741,0.45833,0.71639,0.55502,0.07962,0.0056
Glucose,Decision Tree,0.66234,0.53333,0.2963,0.38095,0.68352,0.49061,0.00285,0.00018
Glucose,Gradient Boosting,0.69481,0.64,0.2963,0.40506,0.72731,0.56927,0.20198,0.00044
Glucose,SVM (RBF Kernel),0.69481,0.60606,0.37037,0.45977,0.66685,0.55879,0.05002,0.00308
Glucose,MLAR,0.70779,0.56338,0.74074,0.64,0.765,0.59524,,1e-05
SkinThickness,LogisticRegression,0.57143,0.38,0.35185,0.36538,0.57935,0.39742,0.0031,7e-05
SkinThickness,RandomForest,0.53247,0.40426,0.7037,0.51351,0.57306,0.38278,0.12961,0.00806
SkinThickness,AdaBoost,0.61688,0.33333,0.09259,0.14493,0.56685,0.37792,0.08669,0.00444
SkinThickness,Decision Tree,0.61039,0.28571,0.07407,0.11765,0.56907,0.37729,0.00086,7e-05
SkinThickness,Gradient Boosting,0.61039,0.28571,0.07407,0.11765,0.5725,0.37906,0.07521,0.00032
SkinThickness,SVM (RBF Kernel),0.61688,0.14286,0.01852,0.03279,0.55231,0.37595,0.06213,0.00417
SkinThickness,MLAR,0.48052,0.39844,0.94444,0.56044,0.57935,0.39742,,1e-05
